datFile    
C111 10.110.20.130 unknown         
CABLE_2 10.110.22.55 unknown         
DN592 10.110.21.253 10.111.218.237         
DN593 10.110.21.254 10.111.218.238         
DN595 10.110.22.1 10.111.218.239         
DN596 10.110.22.2 10.111.218.240         
DZ003 10.110.22.150 unknown         
DZ05CPH 10.110.21.122 10.111.218.212         
DZ114NPE 10.110.21.194 unknown         
DZ31NPE 10.110.21.195 unknown         
DZ32NPE 10.110.21.196 unknown         
DZ978 10.110.22.102 10.111.219.165         
DZ979 10.110.22.99 unknown         
EL18 10.110.21.198 10.111.218.173         
EL19 10.110.21.201 10.111.218.180         
EL20 10.110.21.229 10.111.218.165         
EL21 10.110.22.82 10.111.219.187         
EX259 10.110.22.136 unknown         
EX266 10.110.22.108 unknown         
EXD265 10.110.21.185 10.111.218.83         
EXD30 10.110.21.14 10.111.218.42         
EXD48 10.110.21.189 10.111.219.14         
EXD49 10.110.21.191 10.111.219.58         
EXD53 10.110.22.6 10.111.219.81         
EXD54 10.110.22.12 10.111.218.223         
EXD55 10.110.21.188 10.111.218.205         
EXD61 10.110.22.101 10.111.218.103         
EXD66 10.110.21.187 10.111.218.170         
EXD67 10.110.21.184 10.111.218.67         
EXD68 10.110.21.15 10.111.218.43         
EXD69 10.110.22.83 10.111.219.189         
EXD70 10.110.22.84 10.111.219.188         
EXD80 10.110.21.233 10.111.218.162         
EXD81 10.110.21.243 10.111.218.179         
EXD82 10.110.21.244 10.111.219.10         
FB1 10.110.20.15 10.111.218.44         
FB2 10.110.20.16 10.111.218.84         
FB3 10.110.20.17 unknown         
FB4 10.110.20.18 10.111.219.94         
GR124NPE 10.110.21.200 unknown         
GR127NPE 10.110.21.210 unknown         
GR128NPE 10.110.21.199 unknown         
GR21 10.110.22.103   
GR4_ESC 10.110.22.43 unknown         
GR999_ESC 10.110.22.111 unknown         
GRD131 10.110.21.8 10.111.218.36         
GRD132 10.110.21.9 10.111.218.37         
GRD133_ESC 10.110.21.160 unknown         
GRD136 10.110.21.10 10.111.218.38         
GRD152 10.110.21.165 10.111.218.181         
GRD153 10.110.21.164 10.111.218.169         
GRD154 10.110.21.167 10.111.218.192         
GRD155 10.110.21.36 10.111.218.82         
GRD156 10.110.21.163 10.111.218.134         
GRD157 10.110.21.162 10.111.218.101         
GRD163 10.110.21.168 10.111.218.214         
GRD164 10.110.21.166 10.111.218.185         
GRD165 10.110.21.169 10.111.219.6         
JJ21BQ 10.110.22.60 10.111.218.87         
L12 10.110.21.117 10.111.218.129         
L13 10.110.21.250 10.111.219.139         
L4 10.110.21.202 unknown         
L9 10.110.21.2 10.111.218.30         
LD02 10.110.21.116 10.111.218.128         
LDW0208 10.110.21.120 10.111.218.168         
LDW0209 10.110.21.123 unknown         
LDW0210 10.110.21.126 10.111.219.82         
LDW145 10.110.22.68 10.111.219.151         
LL3 10.110.21.119 10.111.218.156         
LL7 10.110.21.118 10.111.218.138         
LMP51 10.110.22.51 unknown         
MAC1 10.110.21.217 10.111.219.24         
MV11_22 10.110.21.235 10.111.219.89         
MV12_18 10.110.21.212 unknown         
MV13_3 10.110.21.249 unknown         
MV13_4 10.110.22.11 unknown         
MV13_5 10.110.22.52 10.111.218.236         
MV17_15 10.110.22.94 10.111.219.192         
MV17_16 10.110.21.237 10.111.218.147         
MV17_21 10.110.21.238 10.111.219.61         
MV17_22 10.110.21.239 10.111.218.106         
MV17_34 10.110.22.5 unknown         
MV17_35 10.110.22.50 10.111.218.221         
MV18_12 10.110.21.241 10.111.219.67         
MV18_14 10.110.21.247 10.111.219.137         
MV18_15 10.110.21.231 10.111.218.139         
MV21_25 10.110.21.220 10.111.219.77         
MV27_28 10.110.21.248 unknown         
PT5 10.110.21.205 10.111.218.193         
PT6 10.110.21.207 10.111.218.207         
PT7 10.110.21.206 10.111.218.204         
PT8 10.110.21.208 10.111.219.13         
RD101 10.110.20.112 10.111.218.231         
RD102 10.110.20.114 10.111.218.233         
RD103 10.110.20.116 10.111.218.234         
RD104 10.110.20.118 10.111.219.7         
RD105 10.110.20.122 10.111.219.12         
RD106 10.110.20.124 10.111.219.16         
RD107 10.110.20.128 10.111.219.21         
RD108 10.110.20.132 10.111.219.26         
RD109 10.110.20.136 10.111.219.57         
RD110 10.110.20.142 10.111.219.63         
RD111 10.110.20.144 10.111.219.68         
RD112 10.110.20.146 10.111.219.73         
RD113 10.110.20.150 10.111.219.78         
RD114 10.110.20.152 10.111.219.83         
RD115 10.110.20.156 10.111.219.88         
RD116 10.110.20.158 10.111.219.93         
RD117 10.110.20.26 10.111.218.21         
RD118 10.110.20.28 10.111.218.195         
RD119 10.110.20.30 10.111.218.23         
RD120 10.110.20.32 10.111.218.24         
RD121 10.110.20.34 10.111.218.25         
RD122 10.110.20.36 10.111.218.26         
RD123 10.110.20.38 10.111.218.27         
RD124 10.110.20.40 10.111.218.28         
RD125 10.110.20.160 10.111.219.95         
RD126 10.110.20.162 10.111.219.97         
RD127 10.110.20.164 10.111.219.98         
RD128 10.110.20.166 10.111.219.99         
RD129 10.110.20.168 10.111.219.100         
RD13 10.110.20.42 10.111.218.148         
RD130 10.110.20.170 10.111.219.101         
RD131 10.110.20.172 10.111.219.102         
RD132 10.110.20.174 10.111.219.103         
RD133 10.110.20.176 10.111.219.104         
RD14 10.110.20.44 10.111.218.149         
RD15 10.110.20.46 10.111.218.150         
RD16 10.110.20.48 10.111.218.152         
RD160 10.110.20.178 10.111.219.105         
RD161 10.110.20.180 10.111.219.106         
RD162 10.110.20.182 10.111.219.107         
RD163 10.110.20.184 10.111.219.108         
RD164 10.110.20.186 10.111.219.109         
RD165 10.110.20.188 10.111.219.110         
RD166 10.110.20.190 10.111.219.111         
RD167 10.110.20.192 10.111.219.112         
RD168 10.110.20.194 10.111.219.113         
RD17 10.110.20.148 10.111.219.76         
RD18 10.110.20.50 10.111.218.153         
RD19 10.110.20.52 10.111.218.155         
RD190 10.110.20.196 10.111.219.117         
RD191 10.110.20.198 10.111.219.118         
RD192 10.110.20.200 10.111.219.119         
RD193 10.110.20.202 10.111.219.120         
RD194 10.110.20.204 10.111.219.121         
RD20 10.110.20.54 10.111.218.157         
RD21 10.110.20.56 10.111.218.158         
RD22 10.110.20.58 10.111.218.160         
RD23 10.110.20.60 10.111.218.161         
RD24 10.110.20.62 10.111.218.164         
RD25 10.110.20.64 10.111.218.174         
RD26 10.110.20.82 10.111.218.178         
RD27 10.110.20.84 10.111.218.184         
RD28 10.110.20.86 10.111.218.189         
RD284 10.110.20.210 10.111.219.122         
RD285 10.110.20.212 10.111.219.123         
RD286 10.110.20.214 10.111.219.124         
RD287 10.110.20.216 10.111.219.125         
RD288 10.110.20.218 10.111.219.126         
RD289 10.110.20.220 10.111.219.127         
RD29 10.110.20.92 10.111.218.199         
RD290 10.110.20.222 10.111.219.128         
RD291 10.110.20.224 10.111.219.129         
RD292 10.110.20.226 10.111.219.130         
RD293 10.110.20.228 10.111.219.131         
RD294 10.110.20.230 10.111.219.132         
RD295 10.110.20.232 10.111.219.133         
RD296 10.110.20.234 10.111.219.134         
RD297 10.110.20.236 10.111.219.135         
RD298 10.110.20.238 10.111.219.136         
RD30 10.110.20.94 10.111.218.200         
RD31 10.110.20.104 10.111.218.225         
RD32 10.110.20.106 10.111.218.227         
RD33 10.110.20.108 10.111.218.228         
RD35 10.110.20.110 10.111.218.230         
RD36 10.110.20.154 10.111.219.87         
RD393 10.110.22.92 unknown    
RD394 10.110.22.87 unknown         
RD395 10.110.22.89 10.111.219.166         
RD396 10.110.22.90 10.111.219.167         
RD397 10.110.22.91 10.111.219.168         
RD398 10.110.22.107 unknown      
RD399 10.110.22.88 unknown    
RD400 10.110.22.98 10.111.219.170 
RD601 10.110.22.140 unknown         
RD663 10.110.22.138 unknown         
RD664 10.110.22.129 unknown         
RD665 10.110.22.130 unknown         
RD666 10.110.22.131 unknown         
RD667 10.110.22.132 unknown         
RD668 10.110.22.133 unknown         
RD669 10.110.22.134 unknown         
RD767 10.110.22.135 unknown         
ROM1 10.110.20.10 unknown         
ROM1_BCP 10.110.20.206 unknown         
ROM2 10.110.20.11 unknown         
ROM2_BCP 10.110.20.207 unknown         
ROM3 10.110.20.12 unknown         
ROM3_BCP 10.110.20.208 unknown         
SC09CPH 10.110.22.62 unknown         
SC18CPH 10.110.22.63 unknown         
SHE32 10.110.22.10 10.111.219.48         
SHE33 10.110.21.230 10.111.218.133         
SHE35 10.110.21.232 10.111.218.151         
ST074 10.110.22.14 10.111.219.22         
ST101 10.110.21.209 unknown         
ST299 10.110.22.13 10.111.218.194         
ST713 10.110.22.41 10.111.219.115         
ST85 10.110.21.193 10.111.218.126         
SV2 10.110.22.42 10.111.219.64         
TH5 10.110.22.4 10.111.218.65         
TH6 10.110.21.37 10.111.218.112         
TH7 10.110.22.80 10.111.219.185         
TRD321 10.110.21.149 10.111.218.196         
TRD409 10.110.21.130 10.111.218.100         
TRD410 10.110.21.151 10.111.218.206         
TRD411 10.110.21.129 10.111.218.89         
TRD416 10.110.21.154 10.111.219.60         
TRD417 10.110.21.152 10.111.219.15         
TRD418 10.110.21.141 10.111.218.132         
TRD419 10.110.21.139 10.111.218.127         
TRD434 10.110.21.147 10.111.218.172         
TRD435 10.110.21.146 10.111.218.171         
TRD436 10.110.21.134 10.111.218.108         
TRD437 10.110.21.150 10.111.218.198         
TRD438 10.110.21.156 10.111.219.70         
TRD464 10.110.21.153 10.111.219.17         
TRD485 10.110.21.140 10.111.218.130         
TRD486 10.110.21.135 10.111.218.109         
TRD487 10.110.21.131 10.111.218.102         
TRD488 10.110.21.132 10.111.218.104         
TRD489 10.110.21.128 10.111.218.88         
