timestamp,Angle Velocity[deg/sec],Angle[deg]
11493,1.115112,158.637085,
11495,-0.197754,158.620605,
11497,-0.483398,158.598633,
11499,-0.472412,158.571167,
11501,-0.444946,158.543701,
11503,-0.417480,158.516235,
11505,0.598755,158.516235,
11507,0.417480,158.527222,
11509,0.258179,158.576660,
11511,0.950317,158.648071,
11513,0.401001,158.703003,
11515,-0.120850,158.735962,
11517,0.126343,158.741455,
11519,-0.401001,158.746948,
11521,-0.142822,158.741455,
11523,-0.137329,158.730469,
11525,0.087891,158.713989,
11527,-0.186768,158.686523,
11529,-1.071167,158.675537,
11531,-0.241699,158.697510,
11533,-0.005493,158.719482,
11535,0.867920,158.774414,
11537,0.884399,158.818359,
11539,0.296631,158.845825,
11541,-0.137329,158.851318,
11543,-0.455933,158.823853,
11545,-0.368042,158.779907,
11547,-0.703125,158.735962,
11549,-0.615234,158.730469,
11551,0.532837,158.768921,
11553,0.192261,158.823853,
11555,-0.010986,158.878784,
11557,1.285400,158.928223,
11559,0.098877,158.955688,
11561,-0.021973,158.966675,
11563,0.422974,158.950195,
11565,-1.104126,158.933716,
11567,-1.411743,158.900757,
11569,0.780029,158.867798,
11571,0.961304,158.851318,
11573,0.834961,158.856812,
11575,0.362549,158.873291,
11577,-1.296387,158.878784,
11579,-0.236206,158.884277,
11581,1.032715,158.851318,
11583,-0.318604,158.812866,
11585,-0.681152,158.763428,
11587,-0.373535,158.719482,
11589,-1.290894,158.675537,
11591,0.379028,158.681030,
11593,1.488647,158.708496,
11595,0.675659,158.779907,
11597,0.675659,158.856812,
11599,1.197510,158.906250,
11601,0.076904,158.944702,
11603,-0.186768,158.950195,
11605,0.373535,158.966675,
11607,-1.087646,158.961182,
11609,0.142822,158.955688,
11611,0.637207,158.939209,
11613,-0.428467,158.917236,
11615,-0.390015,158.911743,
11617,0.005493,158.906250,
11619,-0.357056,158.906250,
11621,-0.043945,158.906250,
11623,0.335083,158.895264,
11625,-0.192261,158.900757,
11627,-0.357056,158.889771,
11629,0.527344,158.878784,
11631,-0.719604,158.856812,
11633,-0.038452,158.818359,
11635,-0.263672,158.796387,
11637,-0.763550,158.774414,
11639,-0.043945,158.763428,
11641,0.411987,158.735962,
11643,-0.560303,158.713989,
11645,-0.379028,158.664551,
11647,-0.115356,158.609619,
11649,-0.747070,158.554688,
11651,-0.840454,158.510742,
11653,-0.258179,158.461304,
11655,-0.873413,158.417358,
11657,-0.340576,158.367920,
11659,0.087891,158.323975,
11661,-0.615234,158.296509,
11663,-0.395508,158.274536,
11665,-0.263672,158.247070,
11667,-0.455933,158.208618,
11669,-0.411987,158.192139,
11671,0.225220,158.175659,
11673,-0.263672,158.170166,
11675,-0.098877,158.181152,
11677,0.472412,158.186646,
11679,0.247192,158.186646,
11681,0.302124,158.225098,
11683,0.681152,158.274536,
11685,-0.203247,158.318481,
11687,0.203247,158.351440,
11689,0.197754,158.345947,
11691,-0.505371,158.318481,
11693,0.296631,158.291016,
11695,0.664673,158.263550,
11697,-0.197754,158.247070,
11699,-0.681152,158.219604,
11701,-0.346069,158.170166,
11703,-1.235962,158.104248,
11705,-1.071167,158.038330,
11707,-0.505371,157.961426,
11709,-1.307373,157.873535,
11711,-0.955811,157.774658,
11713,-0.730591,157.686768,
11715,-0.736084,157.615356,
11717,-0.653687,157.565918,
11719,0.038452,157.532959,
11721,-0.681152,157.505493,
11723,-0.411987,157.483521,
11725,-0.241699,157.439575,
11727,-0.670166,157.406616,
11729,-0.401001,157.384644,
11731,0.087891,157.362671,
11733,0.005493,157.346191,
11735,-0.648193,157.335205,
11737,0.428467,157.340698,
11739,0.785522,157.379150,
11741,0.725098,157.456055,
11743,1.049194,157.532959,
11745,0.357056,157.598877,
11747,0.181274,157.637329,
11749,0.686646,157.642822,
11751,-0.357056,157.642822,
11753,-0.175781,157.637329,
11755,0.373535,157.631836,
11757,-0.098877,157.642822,
11759,0.252686,157.675781,
11761,0.763550,157.703247,
11763,-0.214233,157.725220,
11765,-0.681152,157.714233,
11767,1.301880,157.725220,
11769,-0.499878,157.730713,
11771,-0.379028,157.741699,
11773,0.065918,157.741699,
11775,0.351562,157.747192,
11777,-0.038452,157.758179,
11779,0.170288,157.763672,
11781,-0.521851,157.785645,
11783,0.565796,157.807617,
11785,0.417480,157.818604,
11787,0.159302,157.818604,
11789,0.291138,157.824097,
11791,-0.955811,157.818604,
11793,-0.170288,157.818604,
11795,-0.593262,157.802124,
11797,-0.247192,157.807617,
11799,0.472412,157.818604,
11801,0.192261,157.851562,
11803,0.675659,157.906494,
11805,0.422974,157.961426,
11807,0.362549,158.016357,
11809,0.670166,158.065796,
11811,0.258179,158.137207,
11813,1.076660,158.203125,
11815,0.582275,158.274536,
11817,0.802002,158.340454,
11819,1.109619,158.395386,
11821,0.186768,158.439331,
11823,0.862427,158.499756,
11825,0.829468,158.560181,
11827,-0.241699,158.609619,
11829,0.214233,158.631592,
11831,0.335083,158.664551,
11833,-0.955811,158.686523,
11835,0.505371,158.697510,
11837,0.510864,158.719482,
11839,1.246948,158.735962,
11841,0.571289,158.768921,
11843,-0.159302,158.796387,
11845,0.510864,158.829346,
11847,-0.065918,158.840332,
11849,0.016479,158.840332,
11851,-0.510864,158.834839,
11853,0.362549,158.823853,
11855,0.324097,158.818359,
11857,-0.593262,158.812866,
11859,0.340576,158.818359,
11861,-0.236206,158.807373,
11863,-0.505371,158.801880,
